left_knee,right_knee,left_hip,right_hip,left_shoulder,right_shoulder
115.28,133.88,156.56,158.5,24.09,22.65
112.0,129.94,160.68,161.69,18.58,21.02
112.85,130.44,157.17,166.59,15.16,18.69
117.23,129.13,164.19,165.16,13.18,16.34
114.41,139.27,163.48,163.78,11.08,17.08
125.38,130.83,162.49,168.32,12.3,21.35
110.51,136.81,163.62,162.73,12.82,19.71
114.36,135.33,165.72,167.08,12.22,16.39
120.61,135.27,168.04,167.42,8.17,18.43
116.91,134.82,167.79,168.24,14.94,19.53
125.96,143.68,169.23,170.96,13.38,24.91
124.56,146.51,167.54,172.97,14.3,23.97
119.76,141.72,162.99,172.15,16.93,24.26
132.15,144.41,171.51,169.73,14.01,23.9
131.57,145.37,172.83,169.08,18.14,27.55
130.34,144.19,167.73,169.4,23.48,32.44
136.54,158.52,170.29,171.16,22.15,33.79
137.54,151.84,172.18,167.53,25.8,39.43
137.1,157.37,173.16,172.06,26.39,38.28
137.91,157.12,171.79,167.26,34.19,40.03
138.67,159.92,169.74,166.49,33.31,38.13
142.62,158.71,170.76,165.73,32.36,42.64
148.95,159.87,167.76,166.19,36.08,42.52
144.71,161.29,167.1,163.66,35.83,44.33
148.12,165.9,169.58,166.64,38.81,41.18
152.46,167.17,163.94,167.13,36.81,43.23
149.84,165.38,167.87,162.65,43.77,42.72
149.85,166.19,161.61,162.24,37.4,43.24
154.48,159.52,167.19,159.03,38.18,39.7
157.19,166.19,161.64,159.5,38.99,38.65
152.89,161.18,158.35,157.81,38.51,33.7
158.28,174.27,167.09,157.68,31.17,33.76
154.15,167.86,160.2,156.31,34.86,30.45
154.1,168.36,156.51,154.19,28.4,28.1
159.37,167.84,157.19,151.61,27.81,29.19
157.53,165.91,156.73,149.94,23.25,25.19
155.26,165.62,154.68,146.79,22.39,26.9
158.14,164.2,151.49,148.34,21.21,22.65
158.46,163.21,152.93,149.62,19.87,22.21
157.57,162.28,147.67,150.06,13.74,16.6
155.13,160.81,154.56,144.89,15.46,20.8
163.51,155.28,144.83,145.18,14.34,20.24
152.11,158.46,145.29,140.27,14.37,17.8
153.29,161.19,146.67,142.49,11.09,19.25
154.41,152.34,142.6,141.0,13.86,20.15
153.29,150.77,145.45,141.99,11.66,18.56
154.53,150.65,141.77,139.59,10.88,18.91
144.49,152.8,141.88,143.38,14.26,23.33
148.94,152.71,141.04,142.19,13.78,29.65
140.04,145.25,139.71,142.65,15.39,22.05
140.24,149.59,140.82,138.66,16.11,26.36
142.23,146.98,138.83,139.65,18.24,25.55
142.55,147.63,137.05,136.81,22.75,32.0
139.41,142.65,140.85,138.15,23.38,36.0
134.66,139.58,140.92,138.31,24.09,31.0
130.99,137.07,140.35,141.26,28.62,40.59
129.31,140.65,140.14,141.73,24.39,39.85
126.3,138.82,139.39,142.02,28.25,41.08
126.32,132.73,140.12,140.57,33.24,41.14
123.78,134.75,138.22,142.24,35.05,36.62
122.92,133.12,142.6,145.29,37.25,42.56
119.57,133.54,141.61,144.38,39.15,42.0
120.81,130.48,145.5,143.32,39.42,45.95
117.19,127.49,146.26,146.62,39.77,40.93
114.69,123.19,141.3,151.74,39.74,41.49
121.35,126.32,144.33,146.87,37.03,39.33
117.4,129.11,145.56,149.95,37.32,40.55
115.25,125.03,148.77,149.67,37.62,37.51
114.62,128.72,150.35,151.84,32.16,35.94
115.33,130.13,148.7,152.09,33.4,35.95
109.29,128.32,154.57,153.13,31.07,28.75
118.67,131.25,154.05,159.2,30.97,31.38
115.71,124.94,151.72,157.65,24.64,29.7
115.7,128.73,153.25,159.03,21.51,22.82
109.39,131.75,160.03,159.32,19.04,23.78
108.88,128.9,159.76,162.37,18.75,23.09
112.57,136.05,160.25,159.36,15.51,23.76
114.02,130.37,163.99,163.96,14.93,15.94
114.24,131.13,161.98,165.49,14.85,17.22
112.08,130.66,166.42,168.17,15.39,18.39
114.02,131.43,163.16,162.24,13.55,18.62
117.75,136.76,165.34,166.81,11.83,18.0
117.81,138.77,169.06,165.07,8.13,16.87
119.46,139.8,170.4,171.99,10.87,21.63
124.89,137.19,169.88,168.78,13.16,22.51
129.24,140.82,169.46,166.57,15.77,25.82
123.91,139.5,169.92,169.96,15.24,27.5
129.81,143.98,166.96,168.43,15.21,25.78
131.3,145.15,170.88,168.35,18.47,30.13
133.21,148.34,168.31,167.47,21.99,31.26
131.9,149.33,169.18,173.26,20.37,34.28
137.42,151.43,176.8,172.19,27.52,35.82
